SL.NO,All India Rank,Course Code,Name of the College Allotted.,Course Name,Allotted Category,Course_fees,Status,Exam year,Counselling Type,State,Round,District
38,601,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
39,619,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
40,642,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,3BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
41,653,M06GC5,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.D. Radio Diagnosis,3BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
42,662,M01GC1,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Dermatology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
43,668,M01GD5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. General Surgery,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
44,676,M16GC5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
45,680,M02GD6,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
46,690,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,3AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
47,699,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
48,722,M07GC4,"Hassan Institute of Medical Sciences ,Hassan",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
49,732,M04GC4,"Vijayanagar Institute of Medical Sciences ,Bellary",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bellary
50,743,M16GC5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
51,745,M06GD5,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.S. General Surgery,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
52,777,M27GC5,"Sri Dharmasthala Manjunatheshwara Medical college ,Manjushree Nagar,Sattur,Dharwad (P)",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
53,801,M12GC3,"Indira Gandhi Institute of Child Health ,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
54,841,M06GC4,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
55,860,M14GC5,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
56,865,M14GC5,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
57,895,M16PC5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Radio Diagnosis,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
58,913,M16PC5,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. Radio Diagnosis,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
59,914,M02GC5,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Radio Diagnosis,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
60,926,M14PC5,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. Radio Diagnosis,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
61,935,M05GC4,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
62,939,M01GC3,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
63,940,M08GC1,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. Dermatology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
64,947,M03GD6,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
65,959,M15GC5,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Radio Diagnosis,GMH,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
66,995,M12GC3,"Indira Gandhi Institute of Child Health ,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
67,1009,M07GC1,"Hassan Institute of Medical Sciences ,Hassan",M.D. Dermatology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
68,1013,M05GC4,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
69,1014,M05GC1,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. Dermatology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
70,1042,M04GC4,"Vijayanagar Institute of Medical Sciences ,Bellary",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bellary
71,1048,M55GC4,"Gulbarga Institute of Medical Sciences, Gulbarga",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
72,1052,M25GC4,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
73,1056,M25GC1,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. Dermatology,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
74,1071,M38GC5,"ESI Medical College ,Bangalore",M.D. Radio Diagnosis,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
75,1075,M08GC4,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
76,1095,M02GC3,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
77,1104,M03GC4,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. General Medicine,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
78,1110,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
79,1120,M06GC4,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
80,1146,M14PC1,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. Dermatology,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
81,1163,M25GC4,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
82,1172,M01GC4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. General Medicine,SCG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
83,1176,M02GC1,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Dermatology,3BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
84,1187,M48PC4,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. General Medicine,GMP,1240775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
85,1189,M01GC6,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Psychiatry,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
86,1233,M01GC5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Radio Diagnosis,1G,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
87,1244,M50GC4,"Gadag Institute of Medical Sciences,MULGUND ROAD,GADAG",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gadag
88,1257,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,3AH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
89,1300,M21GC5,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.D. Radio Diagnosis,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
90,1325,M16GC4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
91,1335,M48PC5,"St. Johns Medical College,Johnnagar, Sarjapur Road,Bangalore",M.D. Radio Diagnosis,RC3,1280775.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
92,1346,M05GC1,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. Dermatology,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
93,1376,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,2AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
94,1417,M12GC3,"Indira Gandhi Institute of Child Health ,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
95,1418,M43GC5,"Sapthagiri Institute of Medical Sciences ,Bangalore",M.D. Radio Diagnosis,GM,809608.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
96,1435,M15GC4,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. General Medicine,GM,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
97,1459,M56GC4,"ESI Medical College, Gulbarga",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
98,1476,M02GD6,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
99,1478,M14GC4,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
100,1482,M26GC1,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. Dermatology,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
101,1486,M25PC5,"Father Muller Institute of Med. Education and Research ,Father Muller Road,Kankanady,Mangalore",M.D. Radio Diagnosis,MC,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
102,1487,M03GD6,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
103,1518,M15GC5,"M.S.Ramaiah Medical College ,MSR Nagar, MSRIT Post,Mathikere,Bangalore",M.D. Radio Diagnosis,2AG,808858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
104,1522,M03GD2,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. ENT,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
105,1523,M01GC3,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
106,1546,M60GC4,"Karwar Institute of Medical Sciences, Karwar, Uttara Kannada",M.D. General Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Uttara Kannada
107,1557,M34GD3,"Sanjay Gandhi Institute of Trauma and Orthopaedics,Bangalore",M.S. Orthopedics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
108,1580,M08GC4,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. General Medicine,3AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
109,1606,M09GC4,"Raichur Institute of Medical Sciences ,Hyderabad Road,Raichur",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
110,1625,M14GC4,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
111,1636,M03GD6,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
112,1637,M02GC3,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
113,1653,M03GC5,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Radio Diagnosis,2BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
114,1680,M56GC4,"ESI Medical College, Gulbarga",M.D. General Medicine,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
115,1707,M01GC3,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Paediatrics,3AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
116,1708,M56GC4,"ESI Medical College, Gulbarga",M.D. General Medicine,3BH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
117,1749,M27GC4,"Sri Dharmasthala Manjunatheshwara Medical college ,Manjushree Nagar,Sattur,Dharwad (P)",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
118,1752,M16PC4,"Kempegowda Institute of Medical Sciences ,B.S.K II Stage,Bangalore",M.D. General Medicine,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
119,1770,M26GC4,"Vydehi Institute of Medical Science and Research Centre ,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
120,1784,M31GC1,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. Dermatology,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
121,1787,M09GC1,"Raichur Institute of Medical Sciences ,Hyderabad Road,Raichur",M.D. Dermatology,3AG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Raichur
122,1795,M01GD5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.S. General Surgery,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
123,1803,M14GC4,"Jaya Jagadguru Murugharajendra Medical College ,Davangere",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
124,1817,M03GD6,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
125,1818,M32GC4,"Kasturba Medical College ,Light House Hill Road,Hampanakatta,Mangalore (D)",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
126,1836,M35GC5,"Jagadguru Sri Shivarathreeswara Medical College ,Sri Shivarathreeshwara Nagar,Mysore (D)",M.D. Radio Diagnosis,2AG,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
127,1844,M34GD3,"Sanjay Gandhi Institute of Trauma and Orthopaedics,Bangalore",M.S. Orthopedics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
128,1856,M31PC5,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. Radio Diagnosis,OPN,1388744.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
129,1873,M02GD5,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.S. General Surgery,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
130,1886,M03GC3,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
131,1895,M31GC4,"A.J.Institute of Medical Sciences ,NH 17, Kuntikana,Mangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mangalore
132,1912,M17GC5,"Mahadevappa Rampure Medical College ,M R Marga,Gulbarga",M.D. Radio Diagnosis,GMH,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Gulbarga
133,1939,M01GC7,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Respiratory Medicine,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
134,1943,M05GC3,"Mandya Institute of Medical Sciences ,District Hospital,Mandya",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mandya
135,1945,M07GC3,"Hassan Institute of Medical Sciences ,Hassan",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Hassan
136,1946,M03GC1,"Karnataka Institute of Medical Sciences ,Hubli, Dharwad",M.D. Dermatology,GMH,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Dharwad
137,1954,M08GC3,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
138,1966,M01GD4,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Anaesthesia,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
139,1981,M08GC3,"Shimoga Institute of Medical Sciences ,Sagar Road,Shimoga",M.D. Paediatrics,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Shimoga
140,1989,M02GC4,"Mysore Medical College and Research Institute,Irvin Road,Mysore",M.D. General Medicine,2BG,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Mysore
141,2004,M06GD6,"Belgaum Institute of Medical Sciences ,Dr B R Ambedkar Road,Belgaum",M.S. Obstetrics and Gynecology,GM,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Belgaum
142,2033,M21GC4,"Shymanuru Shivashankarappa Institute Of Medical Sciences ,NH-4 Bypass Road,Davangere",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Davangere
143,2036,M01GC5,"Bangalore Medical College and Research Institute ,Fort, K.R Road,Bangalore",M.D. Radio Diagnosis,1H,124150.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
144,2041,M20GC4,"Dr. B.R. Ambedkar Medical College ,Kadugondanahalli,Bangalore",M.D. General Medicine,GM,783858.0,Allotted,2024,State Cousnselling,Karnataka,Round 1,Bangalore
